DNS,IP
admin.google.com,172.253.122.100
admin.google.com,172.253.122.101
admin.google.com,172.253.122.102
admin.google.com,172.253.122.113
admin.google.com,172.253.122.138
admin.google.com,172.253.122.139
id.google.com,142.251.42.131
ads.google.com,142.251.167.100
ads.google.com,142.251.167.101
ads.google.com,142.251.167.102
ads.google.com,142.251.167.113
ads.google.com,142.251.167.138
ads.google.com,142.251.167.139
images.google.com,172.253.122.100
images.google.com,172.253.122.101
images.google.com,172.253.122.102
images.google.com,172.253.122.113
images.google.com,172.253.122.138
images.google.com,172.253.122.139
alerts.google.com,142.251.111.100
alerts.google.com,142.251.111.101
alerts.google.com,142.251.111.102
alerts.google.com,142.251.111.113
alerts.google.com,142.251.111.138
alerts.google.com,142.251.111.139
news.google.com,172.253.122.100
news.google.com,172.253.122.101
news.google.com,172.253.122.102
news.google.com,172.253.122.113
news.google.com,172.253.122.138
news.google.com,172.253.122.139
ap.google.com,142.251.163.103
ap.google.com,142.251.163.104
ap.google.com,142.251.163.105
ap.google.com,142.251.163.106
ap.google.com,142.251.163.147
ap.google.com,142.251.163.99
ns.google.com,216.239.32.10
dns.google.com,8.8.4.4
dns.google.com,8.8.8.8
upload.google.com,142.251.163.116
upload.google.com,142.251.163.117
ns1.google.com,216.239.32.10
apps.google.com,142.251.111.100
apps.google.com,142.251.111.101
apps.google.com,142.251.111.102
apps.google.com,142.251.111.113
apps.google.com,142.251.111.138
apps.google.com,142.251.111.139
ns2.google.com,216.239.34.10
ns3.google.com,216.239.36.10
ldap.google.com,216.239.32.58
download.google.com,142.251.163.103
download.google.com,142.251.163.104
download.google.com,142.251.163.105
download.google.com,142.251.163.106
download.google.com,142.251.163.147
download.google.com,142.251.163.99
vpn.google.com,64.9.224.68
vpn.google.com,64.9.224.69
vpn.google.com,64.9.224.70
web.google.com,142.251.111.100
web.google.com,142.251.111.101
web.google.com,142.251.111.102
web.google.com,142.251.111.113
web.google.com,142.251.111.138
web.google.com,142.251.111.139
local.google.com,172.253.62.100
local.google.com,172.253.62.101
local.google.com,172.253.62.102
local.google.com,172.253.62.113
local.google.com,172.253.62.138
local.google.com,172.253.62.139
whois.google.com,216.239.34.22
mail.google.com,172.253.63.17
mail.google.com,172.253.63.18
mail.google.com,172.253.63.19
mail.google.com,172.253.63.83
blog.google.com,172.253.62.191
www.google.com,172.253.122.103
www.google.com,172.253.122.104
www.google.com,172.253.122.105
www.google.com,172.253.122.106
www.google.com,172.253.122.147
www.google.com,172.253.122.99
chat.google.com,142.251.167.100
chat.google.com,142.251.167.101
chat.google.com,142.251.167.102
chat.google.com,142.251.167.113
chat.google.com,142.251.167.138
chat.google.com,142.251.167.139
corp.google.com,142.251.179.129
smtp.google.com,172.253.115.26
smtp.google.com,172.253.115.27
smtp.google.com,172.253.122.26
smtp.google.com,172.253.122.27
smtp.google.com,172.253.63.27
mobile.google.com,172.253.62.193
help.google.com,142.251.111.100
help.google.com,142.251.111.101
help.google.com,142.251.111.102
help.google.com,142.251.111.113
help.google.com,142.251.111.138
help.google.com,142.251.111.139
home.google.com,142.250.31.100
home.google.com,142.250.31.101
home.google.com,142.250.31.102
home.google.com,142.250.31.113
home.google.com,142.250.31.138
home.google.com,142.250.31.139
